NumberRow,Date,Ball1,Ball2,Ball3,Ball4,Ball5
1,20-10-2023,10,11,18,32,38
2,23-10-2023,10,11,16,26,28
3,24-10-2023,5,9,19,28,34
4,26-10-2023,4,9,21,30,35
5,27-10-2023,7,12,21,30,32
6,30-10-2023,1,3,8,11,26
7,31-10-2023,1,11,12,19,30
8,02-11-2023,1,4,15,22,30
9,03-11-2023,8,22,25,35,36
10,06-11-2023,7,12,21,28,37
11,07-11-2023,13,16,21,25,34
12,09-11-2023,11,20,27,33,37
13,10-11-2023,3,6,14,19,38
14,13-11-2023,9,11,12,32,38
15,14-11-2023,1,3,17,20,38
16,16-11-2023,6,7,11,23,36
17,17-11-2023,8,18,31,33,34
18,20-11-2023,1,4,6,7,37
19,21-11-2023,5,19,23,31,38
20,23-11-2023,13,23,27,33,37
21,24-11-2023,8,10,18,38,39
22,27-11-2023,8,23,27,29,35
23,28-11-2023,3,14,23,28,29
24,30-11-2023,6,12,15,27,39
25,01-12-2023,2,3,10,16,28
26,04-12-2023,9,11,25,31,36
27,05-12-2023,3,6,14,17,20
28,07-12-2023,7,17,19,33,34
29,08-12-2023,21,23,29,31,34
30,11-12-2023,7,8,21,22,34
31,12-12-2023,7,9,13,24,30
32,14-12-2023,4,10,17,29,38
33,15-12-2023,9,13,18,23,25
34,18-12-2023,2,6,19,26,34
35,19-12-2023,7,14,20,21,37
36,21-12-2023,9,10,13,15,34
37,22-12-2023,8,17,25,29,30
38,25-12-2023,3,7,8,24,28
39,26-12-2023,3,5,17,25,29
40,28-12-2023,1,2,3,6,26
41,29-12-2023,19,24,25,27,31
42,01-01-2024,15,17,21,26,34
43,02-01-2024,2,6,13,17,37
44,04-01-2024,8,14,15,21,33
45,05-01-2024,5,9,22,24,31
46,08-01-2024,3,8,13,28,30
47,09-01-2024,3,15,17,20,23
